,,,,,,,
Owner,#,Scenario,Sample input,Prompt for output,Sample output,GE LLM run time in seconds,GE LLM Response
,,,"Speaker A: I think me and my husband, we each have one retirement plan. It's the kind that you know, you pay like 10 years and after that you let it roll all the way till you retire at 65. Then you get a regular payout. I think that time when we bought the regular payout, it's about like 3k a month for a period of like 10 years. Oh, that's really good.",,* Longer-term planning for child not yet structured,,
,,,Speaker B: Yeah.,,,,
,,,Speaker A: So so far I think we paid for about five years. Really?,,---,,
,,,"Speaker B: And that time when. And do you have longer term plan? Because it sounds that your midterm goals are done but longer term, have you explored anything?",,,,
,,,"Speaker A: No. Land? Not as of now. But thinking of getting something because my kid doing going psi this year, not like gonna go uni. Really. Right.",,### 3. Action Items (from Meeting),,
,,,"Speaker B: Yeah, yeah.",,,,
,,,"Speaker A: Thinking whether if we should get him something for the university fee when he go uni. And after that uni want to start work, need one.",,**Customer 1 – Minchi**,,
,,,Speaker B: Right.,,,,
,,,Speaker A: And then want to see this amount of money can support him once his career start.,,* No explicit follow-up actions mentioned,,
,,,"Speaker B: You know we all Singapore parents, very poor thing. Once the baby born really think about grammarian. Yeah. Everything about univers. And then nowadays my friend beyond university even talk about buy the house, you",,,,
,,,"Speaker A: know, for the kids.",,**Advisor – Follow-up Actions**,,
,,,Speaker B: Have you ever thought about this before?,,,,
,,,"Speaker A: No lah. Not yet. Not yet. I don't have that money to my own children. Just let them be suffered after that you need to give them one lump sum of money. Very good, very good. To me that's their like you know when they want to get married. That's my ang pao for that.",,* Prepare a more detailed discussion on:,,
,,,"Speaker B: But it's good, I mean that's. I feel like a responsibility of the parents. The least we can do, right?",,,,
,,,Speaker A: Yes.,,  * Personal accident coverage,,
,,,"Speaker B: But I think it's good that you have. I think when I hear you today, I found out that there are certain gaps in your immediate needs like the personal accident. And actually it's good to consider getting it at our age so that the premiums are state locked in. That's one. Then secondly is for your midterm. I think I'm very comfortable when you said that. But I think the longer term plan, if you have something in mind, you want to plan for your son intentionally, then I suggest because today we only just coffee. Coffee. So how about we meet two weeks later then we have a more detailed perspective for you to consider. I will share with you based on your current cash flow outflow and then from there we can explore how to best take care of your son's needs and your own retirement needs. Cannot be your son. Got the ang pao then you know ang pao for yourself also, right?",,  * Longer-term planning for child (education / future support),,
,,,"Speaker A: I mean, it's okay. We can plan two weeks later, but perfectly. Preferably. And, like, weekends. Yeah, let's go weekend.",,,,
,,,Speaker B: Do you need your husband in or. No need.,,---,,
,,,"Speaker A: No la. I'm okay. I think he always let me make the decision, so it's fine. Okay.",,,,
,,,"Speaker B: Okay. Okay, that's good. That's good. Okay, then I pass you your pickleball ticket first. Then I see you too.",,## 📊 Customer Attributes,,
,,,Speaker A: Okay. Okay.,,,,
,,,Speaker B: See you.,,### Customer 1 – Minchi,,
,,,,,,,
,,, ,,**Financial Attributes**,,
,,,,,,,
,,,,,* Insurance Providers: Mix of Manulife & NTUC Income,,
,,,,,* Hospital Plan: NTUC Income (for family),,
,,,,,* Personal Accident:,,
,,,,,,,
,,,,,  * Husband: Has (Manulife),,
,,,,,  * Self: None,,
,,,,,* Investment Approach:,,
,,,,,,,
,,,,,  * Monthly DCA (~$500 combined with husband),,
,,,,,  * Portfolio ~20k,,
,,,,,  * Uses robo-advisors + direct market investments,,
,,,,,* Returns: ~3–5% range,,
,,,,,* Savings Style:,,
,,,,,,,
,,,,,  * Conservative via endowment plans,,
,,,,,  * Separate from higher-risk investments,,
,,,,,* Retirement Planning:,,
,,,,,,,
,,,,,  * Endowment-style plan with future payouts (structured for retirement),,
,,,,,,,
,,,,,**Relationship & Lifestyle Attributes**,,
,,,,,,,
,,,,,* Married with 1 child (entering primary school phase),,
,,,,,* Lifestyle:,,
,,,,,,,
,,,,,  * Plays pickleball weekly (social + networking),,
,,,,,  * Husband prefers swimming due to past injuries,,
,,,,,* Social Behaviour:,,
,,,,,,,
,,,,,  * Uses sports (pickleball group) for networking,,
,,,,,* Family Planning:,,
,,,,,,,
,,,,,"  * Considering future financial support for child (education, early career)",,
,,,,,* Decision Style:,,
,,,,,,,
,,,,,  * Takes primary role in financial decisions for household,,
,,,,,,,
,,,,,---,,
,,,,,,,
,,,,,## 🔁 Action Items (Consolidated),,
,,,,,,,
,,,,,### Customer 1 – Minchi,,
,,,,,,,
,,,,,* None explicitly stated,,
,,,,,,,
,,,,,### Advisor,,
,,,,,,,
,,,,,* Prepare follow-up discussion on:,,
,,,,,,,
,,,,,  * Personal accident coverage,,
,,,,,  * Child’s future planning options,,
,,,,,"* Arrange next meeting (target: ~2 weeks later, weekend)",,
Shermaine,4,"- Post meeting summary, attributes, and action items","Speaker 3: Wah, thanks for coming down today ah. How are both of you? And the dogs leh, still the centre of your life?","Generate a detailed but also concise post meeting summary (that can be consumed on a mobile interface) based on the below recap that was recorded by the advisor. for the meeting summary, include sections such as overview in a narrative style with key bullets (including elements like purpose of meeting, type of review, who attended, current stage of conversation, tone and sentiments, overall insights), discussion points, and action items split by customer follow-up actions vs. advisor follow-up actions (if multiple customers, split by customer 1, 2, etc.). After the meeting summary, in a separate section, extract any financial (e.g., income, annual bonus, CPF OA balance, CPF SA balance, investments, capital assets, child's university, fees) and relationship attributes (e.g., career change, travel plans, sports and fitness preferences, food and dining preferences, marital or relationship dynamics) mentioned by the customer. Label the category of attribute as well as the value. And in a third separate section, include the same action items that were generated in the meeting summary. If there are multiple customers in one meeting, generate one meeting summary, but the attributes and action items should be extracted per customer e.g., ""Customer 1 -xx,xx,xx "", ""Customer 2 -xx,xx,xx"". For action items, do not infer action items, but only include items that are explicitly mentioned in the transcript.",Overview,31,### Meeting Summary
,,- Based on meeting transcription,,,"Narrative: This was a high-level, exploratory discussion between the couple and a senior Great Eastern advisor. The conversation focused on lifestyle, retirement, and legacy planning, with emphasis on Singapore’s cost of living and charitable trust structures.",,
,,- Two customers,"Speaker 2: Haha yah, they’re like our kids. Every weekend must bring them to East Coast Park.",,,,#### Overview
,,,,,Key bullets,,"- **Purpose of Meeting**: Initial discussion on future planning, including retirement and charity."
,,,"Speaker 1: Ya, two dogs. Basically our “children” already. Everything revolve around them one. Weekend also plan around dog‑friendly places.",,,,"- **Type of Review**: Informal, lifestyle-focused financial review."
,,,,,Purpose of meeting: Explore retirement comfort and structured charity planning.,,- **Who Attended**: Couple (Speaker 1 and Speaker 2) and Advisor (Speaker 3).
,,,,,,,- **Current Stage of Conversation**: Early-stage exploration of financial goals and values.
,,,,,"Type of review: Conceptual, values-driven discussion (no product push).",,"- **Tone and Sentiments**: Friendly, collaborative, and forward-thinking. The couple is proactive about planning and open to structured solutions."
,,,"True lah, they keep us active. But also, we’ve been thinking more seriously about our future planning.",,,,"- **Overall Insights**: The couple values stability, structured giving, and long-term planning. They are comfortable but aware of the need to plan ahead due to rising costs and no children."
,,,,,"Who attended: Customer 1 (husband, 40, fund manager), Customer 2 (wife, 38, teacher), Advisor.",,
,,,"Speaker 3: Good lifestyle choice. Honestly, pets teach a lot about responsibility also.",,,,#### Discussion Points
,,,,,"Stage of conversation: Early-stage, exploratory; next meeting proposed at GE lounge.",,- **Current Life Stage**: Comfortable but aware of the need to plan for the future.
,,,,,,,"- **Income**: Husband earns ~$16k, wife earns ~$5–6k (excluding bonus)."
,,,"Before we talk finance, I always like to understand people first, what is important to them, and how they think about the future la.",,"Tone & sentiments: Warm, reflective, collaborative; customers expressed trust and openness.",,"- **Retirement Goals**: Travel once or twice a year, stress-free healthcare, and the freedom to choose when to retire."
,,,,,,,"- **Charity Intentions**: Desire to give back in a structured manner, possibly through a trust."
,,,,,"Overall insights: Couple values lifestyle freedom, charitable legacy, and retirement security; concerned about inflation, healthcare, and future tax changes.",,"- **Trust Planning**: Explored the concept of trust planning for charity, emphasizing intent and structure over complexity."
,,,,,,,
,,,Speaker 3:,,Discussion Points,,#### Action Items
,,,So at this stage… how would you describe life now? Comfortable? Busy? Or still feel chasing?,,Pets as “children”; lifestyle revolves around dogs.,,- **Customer Follow-Up Actions**:
,,,,,,,  - None explicitly mentioned.
,,,Speaker 1:,,"Income: husband ~$16k/month, wife ~$5–6k/month (excluding bonuses).",,- **Advisor Follow-Up Actions**:
,,,"Comfortable, but always got this sense of… must plan ahead, especially in Singapore.",,,,  - Check if dogs are allowed in the new client lounge.
,,,,,"Retirement goals: travel once or twice a year, healthcare security, freedom to stop working before 70.",,"  - Propose next session to map life goals, explore retirement pathways, and discuss charity trust planning."
,,,Speaker 2:,,,,
,,,Ya. Cost of living forever going up. Even groceries also can feel it.,,"Concerns: rising cost of living, inflation, possible future tax changes.",,---
,,,,,,,
,,,Speaker 3:,,Charity: desire to set up structured trust fund for charities (legacy without descendants).,,### Extracted Attributes
,,,"Very real concerns. A lot of couples your age, especially no kids, people assume “sure very free, very rich”. But actually planning becomes more important because no fallback.",,,,
,,,,,Advisor emphasized:,,#### Customer 1 (Speaker 1)
,,,Speaker 1 (nods):,,,,- **Financial Attributes**:
,,,Exactly. No children means we must rely on ourselves fully.,,Importance of planning without fallback (no children).,,  - Income: ~$16k (excluding bonus)
,,,,,,,- **Relationship Attributes**:
,,,Speaker 3:,,"Singapore context: CPF limitations, strong regulation, no capital gains/inheritance tax (but policies can change).",,"  - Pets: Two dogs, central to lifestyle."
,,,"I like that you said that. That awareness already puts you ahead of many people. Anyway, how much are both of you roughly earning?",,,,  - Travel Plans: Desire to travel once or twice a year.
,,,,,"Great Eastern’s stability (110+ years, governance focus).",,  - Career: Works in a cyclical industry.
,,,,,,,
,,,,,New High Net Worth initiatives and GE client lounge experience.,,#### Customer 2 (Speaker 2)
,,,Speaker 3:,,,,- **Financial Attributes**:
,,,"At very high level ah, not numbers game today — just direction.",,Action Items,,  - Income: ~$5–6k (excluding bonus)
,,,"You mentioned earlier husband income about $16k, wife around $5–6k, excluding bonus?",,Customer follow-up,,- **Relationship Attributes**:
,,,,,Customer 1 & 2: Reflect on retirement lifestyle goals and charity trust intentions.,,"  - Pets: Two dogs, central to lifestyle."
,,,Speaker 1:,,,,  - Travel Plans: Desire to travel once or twice a year.
,,,Yes.,,Customer 1 & 2: Attend next meeting at Great Eastern’s new client lounge.,,"  - Career: Teacher, stable and predictable income."
,,,,,,,
,,,Speaker 3:,,Advisor follow-up,,---
,,,"Both stable industry, but quite different risk profile. One more cyclical, one more stable. That balance actually quite rare.",,Advisor: Map couple’s life goals clearly.,,
,,,,,,,### Action Items
,,,Speaker 2:,,Advisor: Explore retirement pathways under Singapore context.,,- **Advisor Follow-Up Actions**:
,,,Sometimes I feel my income quite small compared to his.,,,,  - Check if dogs are allowed in the new client lounge.
,,,,,Advisor: Present charity trust planning concepts.,,"  - Propose next session to map life goals, explore retirement pathways, and discuss charity trust planning."
,,,Speaker 3:,,,,
,,,"Don’t underestimate that stability. Teachers in Singapore very respected, very predictable income. In long‑term planning, that’s a big plus.",,Advisor: Arrange next meeting at GE lounge.,,
,,,,,,,
,,,Speaker 1:,,Extracted Attributes,,
,,,That’s why we talk about planning together. We don’t want everything dependent on my job.,,"Customer 1 (Husband, 40, Fund Manager)",,
,,,,,Financial attributes: Income ~$16k/month (excluding bonus); cyclical industry risk profile.,,
,,,Speaker 3:,,,,
,,,Let me ask a deeper question.,,"Relationship attributes: Married, no children, two dogs considered “children”; values freedom in retirement; concerned about taxes and inflation.",,
,,,"When you say “retire comfortably”, what does that mean to you?",,,,
,,,,,"Customer 2 (Wife, 38, Teacher)",,
,,,Speaker 2:,,"Financial attributes: Income ~$5–6k/month; stable, predictable career.",,
,,,Not extravagant. Can travel comfortably once or twice a year. Healthcare not stressful. No need to watch every dollar.,,,,
,,,,,"Relationship attributes: Married, no children, two dogs; values stability, travel once or twice a year; sees charitable giving as meaningful legacy.",,
,,,Speaker 1:,,,,
,,,"And freedom. Can choose when to stop working, not forced to “撑到 70”.",,Action Items (repeat),,
,,,,,Customer follow-up: Reflect on retirement and charity trust goals; attend next meeting at GE lounge.,,
,,,Speaker 3:,,"Advisor follow-up: Map life goals, explore retirement pathways, present charity trust concepts, arrange GE lounge meeting.",,
,,,"Very clear. In Singapore, retirement risk not just about longevity, but inflation + healthcare. CPF helps, but CPF alone won’t give lifestyle choice.",,,,
,,,,,,,
,,,Speaker 1:,,,,
,,,"Agree. And taxes… right now Singapore tax still okay, but long term nobody knows.",,,,
,,,,,,,
,,,Speaker 3:,,,,
,,,"Correct. Singapore no capital gains tax, no inheritance tax now — but policy can change across decades. Planning is about flexibility, not prediction.",,,,
,,,,,,,
,,,Speaker 3:,,,,
,,,You mentioned earlier something that caught my attention — charity.,,,,
,,,,,,,
,,,Speaker 2:,,,,
,,,"Ya. We don’t have kids, so we keep thinking… what’s the point of accumulating everything?",,,,
,,,,,,,
,,,Speaker 1:,,,,
,,,"We want to give back, but also structured lah. Not just random donations.",,,,
,,,,,,,
,,,Speaker 3 (leans in):,,,,
,,,"That mindset is very rare, especially before 40.",,,,
,,,What you’re talking about is legacy without descendants.,,,,
,,,,,,,
,,,Speaker 2:,,,,
,,,Exactly.,,,,
,,,,,,,
,,,Speaker 3:,,,,
,,,"In Singapore context, trust planning for charity is not about being “very rich”. It’s about intent + structure.",,,,
,,,You decide:,,,,
,,,,,,,
,,,Who benefit,,,,
,,,When money flows,,,,
,,,And how long it continues,,,,
,,,Even after you’re gone.,,,,
,,,,,,,
,,,Speaker 1:,,,,
,,,But trust sounds very complicated and expensive.,,,,
,,,,,,,
,,,Speaker 3:,,,,
,,,"If done wrongly, yes.",,,,
,,,"If done conceptually right, it’s actually very clean. Especially in Singapore where regulation strong, and insurers like Great Eastern work closely with professional trustees.",,,,
,,,,,,,
,,,Speaker 3:,,,,
,,,Just to share context — not selling anything today ah —,,,,
,,,"Great Eastern is over 110 years in Singapore. We’ve seen war, crisis, policy changes, pandemics.",,,,
,,,,,,,
,,,For people thinking about:,,,,
,,,,,,,
,,,Multi‑decade retirement,,,,
,,,Cross‑generation or charity planning,,,,
,,,High Net Worth structuring,,,,
,,,Longevity and governance matters more than returns.,,,,
,,,,,,,
,,,Speaker 2:,,,,
,,,"So you’re saying it’s about the institution, not the product?",,,,
,,,,,,,
,,,Speaker 3:,,,,
,,,"Exactly. 产品会变, institution 必须稳.",,,,
,,,,,,,
,,,Speaker 1:,,,,
,,,That makes sense.,,,,
,,,,,,,
,,,Speaker 3:,,,,
,,,"By the way, Great Eastern recently invested quite heavily in the High Net Worth ecosystem here — not just solutions, but experience.",,,,
,,,,,,,
,,,"There’s a new client lounge — very private, quiet, more like bank lounge than insurance office.",,,,
,,,"Next time, instead of café, why don’t we meet there?",,,,
,,,,,,,
,,,Speaker 2:,,,,
,,,Can bring dogs? (laughs),,,,
,,,,,,,
,,,Speaker 3 (laughs):,,,,
,,,"That one I check for you. If not, at least aircon very good.",,,,
,,,,,,,
,,,Speaker 3:,,,,
,,,"So next session, I propose this:",,,,
,,,,,,,
,,,"Number one Map your life goals clearly. Two, Explore retirement pathways under Singapore context. Three, See whether charity trust planning fits what you believe in",,,,
,,,,,,,
,,,"No commitment, no urgency.",,,,
,,,,,,,
,,,Speaker 1:,,,,
,,,"I like the approach. Very structured, not pushy.",,,,
,,,,,,,
,,,Speaker 2:,,,,
,,,"Ya, it feels like we’re planning life, not just money.",,,,
,,,,,,,
,,,Speaker 3:,,,,
,,,That’s always been my philosophy.,,,,
,,,"Money serve life, not the other way around.",,,,
Shermaine,5,"- Post meeting summary, attributes, and action items","Speaker 3: Wah, thanks for coming down today ah. How are both of you? And the dogs leh, still the centre of your life?","Generate a detailed but also concise post meeting summary (that can be consumed on a mobile interface) based on the below recap that was recorded by the advisor. for the meeting summary, include sections such as overview in a narrative style with key bullets (including elements like purpose of meeting, type of review, who attended, current stage of conversation, tone and sentiments, overall insights), discussion points, and action items split by customer follow-up actions vs. advisor follow-up actions (if multiple customers, split by customer 1, 2, etc.). After the meeting summary, in a separate section, extract any financial (e.g., income, annual bonus, CPF OA balance, CPF SA balance, investments, capital assets, child's university, fees) and relationship attributes (e.g., career change, travel plans, sports and fitness preferences, food and dining preferences, marital or relationship dynamics) mentioned by the customer. Label the category of attribute as well as the value. And in a third separate section, include the same action items that were generated in the meeting summary. If there are multiple customers in one meeting, generate one meeting summary, but the attributes and action items should be extracted per customer e.g., ""Customer 1 -xx,xx,xx "", ""Customer 2 -xx,xx,xx"". For action items, do not infer action items, but only include items that are explicitly mentioned in the transcript.",Overview,38,### Post Meeting Summary
,,- Based on meeting transcription + text note,,,"Narrative: This was an exploratory, values-driven discussion between the couple and a senior Great Eastern advisor. The meeting focused on lifestyle, retirement, and charitable legacy planning, framed within Singapore’s cost-of-living context. The advisor emphasized Great Eastern’s stability and High Net Worth initiatives, while building rapport through personal touches.",,
,,- Two customers,"Speaker 2: Haha yah, they’re like our kids. Every weekend must bring them to East Coast Park.",Speaker 3 also typed in extra notes for this meeting. Combine the extra notes with the meeting transcript above. The extra notes are: <typed notes>,,,#### Overview
,,,,,Key bullets,,"- **Purpose of Meeting**: Initial discussion on future planning, retirement, and legacy considerations."
,,,"Speaker 1: Ya, two dogs. Basically our “children” already. Everything revolve around them one. Weekend also plan around dog‑friendly places.",,,,- **Type of Review**: High-level financial and lifestyle review.
,,,,,"Purpose of meeting: Explore retirement comfort, legacy planning via charity trust, and lifestyle priorities.",,- **Who Attended**: Couple (Speaker 1 and Speaker 2) and Advisor (Speaker 3).
,,,,,,,- **Current Stage of Conversation**: Early-stage exploration of financial goals and lifestyle preferences.
,,,,,"Type of review: Conceptual, high-level discussion (no product push).",,"- **Tone and Sentiments**: Friendly, collaborative, and forward-thinking. The couple is proactive about planning and open to structured advice."
,,,"True lah, they keep us active. But also, we’ve been thinking more seriously about our future planning.",,,,"- **Overall Insights**: The couple values stability, structured giving, and long-term planning. They are comfortable but aware of the need to plan ahead, especially without children."
,,,,,"Who attended: Customer 1 (husband, 40, fund manager), Customer 2 (wife, 38, teacher), Advisor.",,
,,,"Speaker 3: Good lifestyle choice. Honestly, pets teach a lot about responsibility also.",,,,#### Discussion Points
,,,,,"Stage of conversation: Early-stage, exploratory; next meeting proposed at GE lounge.",,- **Current Lifestyle**: Comfortable but mindful of rising costs and the need for future planning.
,,,,,,,"- **Income**: Husband earns ~$16k, wife earns ~$5–6k (excluding bonuses). Different risk profiles (cyclical vs. stable)."
,,,"Before we talk finance, I always like to understand people first, what is important to them, and how they think about the future la.",,"Tone & sentiments: Warm, reflective, collaborative; customers open and engaged.",,"- **Retirement Goals**: Comfortable travel, healthcare security, and freedom to choose retirement timing."
,,,,,,,- **Charity and Legacy**: Interest in structured giving and trust planning for charity without descendants.
,,,,,"Overall insights: Couple values lifestyle freedom, charitable giving, and retirement security; concerned about inflation, healthcare, and future tax changes. Advisor noted their refined lifestyle preferences and importance of neat, private settings.",,- **Institution vs. Product**: Emphasis on the stability and experience of Great Eastern over specific products.
,,,,,,,
,,,Speaker 3:,,Discussion Points,,#### Action Items
,,,So at this stage… how would you describe life now? Comfortable? Busy? Or still feel chasing?,,Pets as “children”; lifestyle revolves around dogs and dog-friendly places.,,**Customer Follow-up Actions**:
,,,,,,,- None explicitly mentioned.
,,,Speaker 1:,,"Income: husband ~$16k/month, wife ~$5–6k/month (excluding bonuses).",,
,,,"Comfortable, but always got this sense of… must plan ahead, especially in Singapore.",,,,**Advisor Follow-up Actions**:
,,,,,"Retirement goals: travel once or twice a year, healthcare security, freedom to retire before 70.",,- Invite the couple to Great Eastern The Hewton Fair Suite for the next meeting.
,,,Speaker 2:,,,,- Order exclusive Great Eastern tea and chocolates for them.
,,,Ya. Cost of living forever going up. Even groceries also can feel it.,,"Concerns: rising cost of living, inflation, possible future tax changes.",,- Check if dogs are allowed in the client lounge.
,,,,,,,- Prepare for potential objection handling for legacy planning.
,,,Speaker 3:,,Charity: desire to set up structured trust fund for charities (legacy without descendants).,,- Explore using UL or iUL for their planning.
,,,"Very real concerns. A lot of couples your age, especially no kids, people assume “sure very free, very rich”. But actually planning becomes more important because no fallback.",,,,- Find out their banking partners.
,,,,,Advisor emphasized:,,
,,,Speaker 1 (nods):,,,,---
,,,Exactly. No children means we must rely on ourselves fully.,,Importance of planning without fallback (no children).,,
,,,,,,,### Extracted Attributes
,,,Speaker 3:,,"Singapore context: CPF limitations, strong regulation, no capital gains/inheritance tax (but policies can change).",,
,,,"I like that you said that. That awareness already puts you ahead of many people. Anyway, how much are both of you roughly earning?",,,,#### Customer 1 (Speaker 1)
,,,,,"Great Eastern’s stability (110+ years, governance focus).",,- **Financial**:
,,,,,,,  - Income: ~$16k (excluding bonus)
,,,,,New High Net Worth initiatives and GE client lounge experience.,,- **Relationship**:
,,,Speaker 3:,,,,  - Career: Cyclical industry (implied)
,,,"At very high level ah, not numbers game today — just direction.",,"Extra notes: couple carries luxury items (Birkin bag, Prada shoes), prefer neat/tidy environments, may respond well to dog-related rapport. Advisor to invite them to Great Eastern Hewton Fair Suite, with exclusive tea and chocolates.",,"  - Lifestyle: Owns two dogs, plans weekends around dog-friendly activities."
,,,"You mentioned earlier husband income about $16k, wife around $5–6k, excluding bonus?",,,,  - Preferences: Values stability and structured giving.
,,,,,Action Items,,
,,,Speaker 1:,,Customer follow-up,,#### Customer 2 (Speaker 2)
,,,Yes.,,Customer 1 & 2: Reflect on retirement lifestyle goals and charity trust intentions.,,- **Financial**:
,,,,,,,  - Income: ~$5–6k (excluding bonus)
,,,Speaker 3:,,Customer 1 & 2: Attend next meeting at Great Eastern’s new client lounge (Hewton Fair Suite).,,- **Relationship**:
,,,"Both stable industry, but quite different risk profile. One more cyclical, one more stable. That balance actually quite rare.",,,,"  - Career: Teacher (stable, predictable income)"
,,,,,Advisor follow-up,,"  - Lifestyle: Owns two dogs, plans weekends around dog-friendly activities."
,,,Speaker 2:,,Advisor: Map couple’s life goals clearly.,,  - Preferences: Values structured giving and charity.
,,,Sometimes I feel my income quite small compared to his.,,,,
,,,,,Advisor: Explore retirement pathways under Singapore context.,,#### Additional Observations (from Advisor's Notes)
,,,Speaker 3:,,,,- **Customer 1**:
,,,"Don’t underestimate that stability. Teachers in Singapore very respected, very predictable income. In long‑term planning, that’s a big plus.",,Advisor: Present charity trust planning concepts.,,  - Wears Prada shoes.
,,,,,,,- **Customer 2**:
,,,Speaker 1:,,Advisor: Arrange next meeting at GE lounge; prepare exclusive tea/chocolates.,,  - Carries a Birkin bag.
,,,That’s why we talk about planning together. We don’t want everything dependent on my job.,,,,- **Both**:
,,,,,"Advisor: Ensure meeting environment is neat, tidy, and quiet.",,"  - Prefer neat, tidy, and quiet environments."
,,,Speaker 3:,,,,
,,,Let me ask a deeper question.,,Advisor: Find out couple’s banking partners; prepare for legacy planning objections.,,---
,,,"When you say “retire comfortably”, what does that mean to you?",,,,
,,,,,Advisor: Consider UL/iUL as potential planning tools (conceptual discussion only).,,### Action Items (Repeated for Clarity)
,,,Speaker 2:,,,,**Advisor Follow-up Actions**:
,,,Not extravagant. Can travel comfortably once or twice a year. Healthcare not stressful. No need to watch every dollar.,,Advisor: Use dog-related conversation to build rapport.,,- Invite the couple to Great Eastern The Hewton Fair Suite for the next meeting.
,,,,,,,- Order exclusive Great Eastern tea and chocolates for them.
,,,Speaker 1:,,Extracted Attributes,,- Check if dogs are allowed in the client lounge.
,,,"And freedom. Can choose when to stop working, not forced to “撑到 70”.",,"Customer 1 (Husband, 40, Fund Manager)",,- Prepare for potential objection handling for legacy planning.
,,,,,Financial attributes: Income ~$16k/month (excluding bonus); cyclical industry risk profile.,,- Explore using UL or iUL for their planning.
,,,Speaker 3:,,,,- Find out their banking partners.
,,,"Very clear. In Singapore, retirement risk not just about longevity, but inflation + healthcare. CPF helps, but CPF alone won’t give lifestyle choice.",,"Relationship attributes: Married, no children, two dogs considered “children”; values freedom in retirement; concerned about taxes and inflation; wears Prada shoes.",,
,,,,,,,
,,,Speaker 1:,,"Customer 2 (Wife, 38, Teacher)",,
,,,"Agree. And taxes… right now Singapore tax still okay, but long term nobody knows.",,"Financial attributes: Income ~$5–6k/month; stable, predictable career.",,
,,,,,,,
,,,Speaker 3:,,"Relationship attributes: Married, no children, two dogs; values stability, travel once or twice a year; sees charitable giving as meaningful legacy; carries Birkin bag.",,
,,,"Correct. Singapore no capital gains tax, no inheritance tax now — but policy can change across decades. Planning is about flexibility, not prediction.",,,,
,,,,,Action Items (repeat),,
,,,Speaker 3:,,Customer follow-up: Reflect on retirement and charity trust goals; attend next meeting at GE lounge.,,
,,,You mentioned earlier something that caught my attention — charity.,,"Advisor follow-up: Map life goals, explore retirement pathways, present charity trust concepts, arrange GE lounge meeting with exclusive tea/chocolates, ensure tidy environment, prepare objection handling, consider UL/iUL, build rapport via dog-related conversation.",,
,,,,,,,
,,,Speaker 2:,,,,
,,,"Ya. We don’t have kids, so we keep thinking… what’s the point of accumulating everything?",,,,
,,,,,,,
,,,Speaker 1:,,,,
,,,"We want to give back, but also structured lah. Not just random donations.",,,,
,,,,,,,
,,,Speaker 3 (leans in):,,,,
,,,"That mindset is very rare, especially before 40.",,,,
,,,What you’re talking about is legacy without descendants.,,,,
,,,,,,,
,,,Speaker 2:,,,,
,,,Exactly.,,,,
,,,,,,,
,,,Speaker 3:,,,,
,,,"In Singapore context, trust planning for charity is not about being “very rich”. It’s about intent + structure.",,,,
,,,You decide:,,,,
,,,,,,,
,,,Who benefit,,,,
,,,When money flows,,,,
,,,And how long it continues,,,,
,,,Even after you’re gone.,,,,
,,,,,,,
,,,Speaker 1:,,,,
,,,But trust sounds very complicated and expensive.,,,,
,,,,,,,
,,,Speaker 3:,,,,
,,,"If done wrongly, yes.",,,,
,,,"If done conceptually right, it’s actually very clean. Especially in Singapore where regulation strong, and insurers like Great Eastern work closely with professional trustees.",,,,
,,,,,,,
,,,Speaker 3:,,,,
,,,Just to share context — not selling anything today ah —,,,,
,,,"Great Eastern is over 110 years in Singapore. We’ve seen war, crisis, policy changes, pandemics.",,,,
,,,,,,,
,,,For people thinking about:,,,,
,,,,,,,
,,,Multi‑decade retirement,,,,
,,,Cross‑generation or charity planning,,,,
,,,High Net Worth structuring,,,,
,,,Longevity and governance matters more than returns.,,,,
,,,,,,,
,,,Speaker 2:,,,,
,,,"So you’re saying it’s about the institution, not the product?",,,,
,,,,,,,
,,,Speaker 3:,,,,
,,,"Exactly. 产品会变, institution 必须稳.",,,,
,,,,,,,
,,,Speaker 1:,,,,
,,,That makes sense.,,,,
,,,,,,,
,,,Speaker 3:,,,,
,,,"By the way, Great Eastern recently invested quite heavily in the High Net Worth ecosystem here — not just solutions, but experience.",,,,
,,,,,,,
,,,"There’s a new client lounge — very private, quiet, more like bank lounge than insurance office.",,,,
,,,"Next time, instead of café, why don’t we meet there?",,,,
,,,,,,,
,,,Speaker 2:,,,,
,,,Can bring dogs? (laughs),,,,
,,,,,,,
,,,Speaker 3 (laughs):,,,,
,,,"That one I check for you. If not, at least aircon very good.",,,,
,,,,,,,
,,,Speaker 3:,,,,
,,,"So next session, I propose this:",,,,
,,,,,,,
,,,"Number one Map your life goals clearly. Two, Explore retirement pathways under Singapore context. Three, See whether charity trust planning fits what you believe in",,,,
,,,,,,,
,,,"No commitment, no urgency.",,,,
,,,,,,,
,,,Speaker 1:,,,,
,,,"I like the approach. Very structured, not pushy.",,,,
,,,,,,,
,,,Speaker 2:,,,,
,,,"Ya, it feels like we’re planning life, not just money.",,,,
,,,,,,,
,,,Speaker 3:,,,,
,,,That’s always been my philosophy.,,,,
,,,"Money serve life, not the other way around.",,,,
,,,,,,,
,,,Speaker 3 also typed in extra notes for this meeting. Combine the extra notes with the meeting transcript above. The extra notes are:,,,,
,,,- Invite them for Great Eastern The Hewton Fair Suite,,,,
,,,- Remember to order exclusive Great eastern tea and chocolates for them,,,,
,,,- Wife carries Berkin bag,,,,
,,,- Husband wears prada shows,,,,
